Index|Steel|C|Mn|Cr|Ni|V|Mo|W|Co|Si|S|P|Rw|Type|cluster|d0|d1|d2|d3|d4|d5|d6|d7|d8|d9|d10|d11|d12|d13|d14
34|AUS-6|0.6|1.0|13.75|0.49|0.175|0.0|0.0|0.0|0.0|0.0|0.0|56.0|Stainless|6|3.543307071084864|1.4721184235859641|12.231810428225284|6.9967547656038365|10.652292006887532|1.6849614974633358|1.8612454163811933|4.101510900469077|13.051747967226458|10.047192344132764|12.286236201538692|2.6425350833369574|6.815881102548785|13.369063168374964|5.361322649827704
35|AUS-8|0.725|0.5|13.75|0.49|0.18|0.2|0.0|0.0|0.0|0.0|0.0|58.0|Stainless|6|3.3333204166416404|1.3321167493930874|12.223978481798362|6.900759179249772|10.553197382784044|1.6962297155556163|1.7620327749505689|3.8614494256259086|13.00290448322989|9.97908516181051|12.205132117269356|2.4663181060033588|6.723178950770361|13.359247733311934|5.239928169567043
36|BG-42|1.15|0.5|14.5|0.0|1.2|4.0|0.0|0.0|0.0|0.0|0.0|60.0|Stainless|7|3.0730766342543427|4.355933067800338|13.56380019160394|7.569369342950573|9.607528298162853|3.8219024620929383|3.648145350722748|1.0559356040971442|12.979210299552127|10.813433728469418|11.01104559067848|3.458795551440799|6.175973855289908|14.708828131431817|6.1308418852733615
37|Bohler K110|1.55|0.35|11.8|0.0|0.95|0.8|0.0|0.0|0.0|0.0|0.0|59.0|Stainless|0|3.3679073621464104|1.4698349553328651|10.340162194529817|4.807530785132843|8.985354750926644|3.748209545021253|3.8222263800041985|4.027819923151148|11.056215446525997|7.954685139379602|11.416462893558581|3.8617267294998125|7.745815196686821|11.527559368747577|3.123655266226128
38|Bohler M390|1.9|0.3|20.0|0.0|4.0|1.0|0.6|0.0|0.0|0.0|0.0|61.0|Stainless|12|5.803817709060133|8.581071946342094|18.91494375001751|12.586614010527216|11.847556710140704|6.356123194693106|6.103799185753082|7.699945887255746|15.881826091479532|16.17852019396912|10.123765356822528|5.947612966560619|1.3693622826792355|20.08966463134714|11.462971788424772
39|BOS-S30V|1.45|0.0|14.0|0.0|4.0|2.0|0.0|0.0|0.0|0.0|0.0|60.0|Stainless|0|1.167818479045438|4.602955627659697|13.200137063489075|6.797378336535344|7.168584239583155|4.5746865041847675|4.398109196006848|4.311805499633148|10.591501310012665|10.412509255698168|8.130382832314845|3.9470579760964575|4.914244185871044|14.357319561812364|5.795160816482049
40|C-75|0.75|0.7|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.035|56.5|Non_Stainless|2|14.78342061229403|12.523154622565364|1.5745928936116294|8.310359634215597|13.920985058536626|15.285415799284781|15.460209878911735|14.649188544079838|11.299275419247024|5.0204738156207265|18.709271765624656|15.466382630294216|19.301719562288344|0.9695875411740809|9.203922020288719
41|CPM 10V|2.45|0.5|5.25|0.0|9.75|1.3|0.0|0.0|0.9|0.07|0.0|59.0|Non_Stainless|8|11.427716307294295|12.292344909224884|10.482357964451413|7.939240659534135|5.424573715970684|14.113329362786065|14.11002177531984|13.364626195046881|0.0|8.891572545581198|9.17717412932761|13.684023531111015|14.547350624910422|11.143833496602504|9.28474675057011
42|CPM 1V|0.55|0.0|4.5|0.0|1.0|2.75|2.15|0.0|0.0|0.0|0.0|58.0|Non_Stainless|9|10.399846152708221|8.713162486158748|4.5980217712820455|3.984325821265123|10.169764009061371|11.295672231302783|11.39843912559961|9.956404973684025|9.40876718810706|1.3851650924468655|14.835872909943653|11.29666322415606|14.901982473236677|5.517800739425083|5.162579028181769
43|CPM 3V|0.8|0.0|7.5|0.0|2.75|1.3|0.0|0.0|0.9|0.03|0.03|59.0|Non_Stainless|14|6.965457630335568|5.858849678718778|6.669738905409007|1.3053973532989869|7.5053913955236204|8.37058769918529|8.448456338290447|7.622125687759287|7.552317525104463|4.210095287916098|11.594499773599548|8.279074022296614|11.46015564235228|7.794287972611738|2.0546262163442015
44|CPM-125V|3.3|0.5|14.0|0.2|11.875|2.5|0.25|0.25|0.0|0.0|0.0|60.0|Stainless|10|9.135777197370786|12.366516978392532|17.431344938129154|11.766604321128504|5.613129697414803|12.3467605163433|12.16996361950191|11.955673339465243|9.177174129327613|14.764771383262255|0.0|11.566952566111208|9.088182644264487|18.413968882345817|11.960261168646035
45|CPM-154|1.05|0.6|14.0|0.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|60.0|Stainless|7|3.931386523861524|3.98974405859088|13.043964830330461|7.421074871607212|10.40560425924415|3.763090155797647|3.666464850506548|0.2677063067368165|13.479610528498217|10.41986959291398|12.186185826582491|3.673045965771006|7.203655534603559|14.177045707762954|5.843277238749578
